index	premise	hypothesis	gold_label	number of correct responses (out of 100)
2057	um i've visited the Wyoming area i'm not sure exactly where Dances with Wolves was filmed	I don't know even though I visited the area.	entailment	78
2058	Working for Philip Morris isn't like defending an indigent murderer in a death penalty appeal.	Working for Philip Morris is a legal challenge.	neutral	2
2059	you know they can't really defend themselves like somebody grown uh say my age you know yeah	They can defend themselves easily.	contradiction	100
2060	Chennai, known until 1996 as Madras, is easy-going, pleasant, and remarkably uncrowded.	The city's designation as sacred ground deters any typically rowdy behavior.	neutral	92
2061	See the idea?" 35 "Then you think" Tuppence paused to grasp the supposition fully "that it WAS as Jane Finn that they wanted me to go to Paris?" Mr. Carter smiled more wearily than ever.	Mr. Carter had no energy left to continue the conversation.	neutral	85
2062	yeah because i was saying to him i said i'm not that heavy i'm not heavy you know maybe ten to fifteen pounds like any other human being	i told him i've gained a lot of weight	contradiction	100
2063	The providers worked with the newly created Legal Assistance to the Disadvantaged Committee of the Minnesota State Bar Association (MSBA) to create the Minnesota Legal Services Coalition State Support Center and the position of Director of Volunteer Legal Services, now the Access to Justice Director at the Minnesota State Bar Association.	Minnesota State Bar Association has no Legal Assistance to the Disadvantaged Committee.	contradiction	100
2064	For example, the CFO Council and the Office of Management and Budget (OMB) are aggressively working on eight priority initiatives outlined in the1998 Federal Financial Management Status Report and FiveYear Plan.	The CFO Council and the OMB have joined forces to work on the priority initiatives.	entailment	11
2065	It was the heyday of the brilliant but lethal Spanish-Italian  lecherous Rodrigo, who became Pope Alexander VI, and treacherous son Cesare, who stopped at nothing to control and expand the papal lands.	Rodrigo was intent on spreading the Christian faith.	neutral	86
2066	Try a selection at the Whisky Heritage Centre (they have over 100 for you to sample), where you can then buy a bottle or two of your personal favorite in the shop or in stores around the city.	Whisky Heritage Centre was established in the 1800s and has been a destination ever since.	neutral	100
2067	As shown in Exhibits A-1 and A-2 in Appendix A, in the first phase of technology implementation, an engineering review and assessment of the combustion unit is conducted to determine the preferred compliance alternative.	The exhibits within the appendix shoe the initial phase of the technological implementations.	entailment	100
2068	We need your help with another new feature that starts next week.	You are the only person who can help us with the new feature.	neutral	100
2069	The commentary is chanted by a chorus of six to eight narrators (reminiscent of the chorus in Greek tragedy) who sit at the side of the stage, while musicians positioned at the back of the stage provide stark accompaniment with flute and drums.	The musicians sitting near the stage are the most important part of the show.	neutral	100
2070	Attractively colorful ukiyo-e woodblock prints and scroll paintings can be found in antique stores, second-hand bookstores, and even temple markets.	There is only one location to buy the woodblock prints and scroll paintings from. 	contradiction	100
2071	and take it easy now good night	Goodnight, and take care.	entailment	100
2072	In addition, Dublin Tourism has devised and signposted three self-guided walking tours of the city, which you can follow using the booklets provided.	Most tourists prefer hiring a tourist guide rather than doing a self-guided tour. 	neutral	100
2073	While obviously constrained by their bondage, blacks nonetheless forged a culture rich with religious observances, folk tales, family traditions, song, and so on.	They do not hold trad ions as a highly valued thing. 	contradiction	97
2074	Voluntariness of risks is evaluated.	Risks and their voluntary nature will be evaluated using strict guidelines.	neutral	100
2075	The search for an AIDS vaccine currently needs serious help, with the U.S. government, the biggest investor in the effort, spending less than 10 percent of its AIDS-research budget on the problem.	The search for an AIDS vaccine is a noble effort with many stakeholders.	neutral	0
2076	Ramses II did not build it from stone but had it hewn into the cliffs of the Nile valley at a spot that stands only 7 km (4 miles) from the Sudan border, in the ancient land of Nubia.	Ramses II ordered that it be made out of stone and not hewn into the cliffs.  	contradiction	100
2077	Many Lakeland hotels also quote a D, B and B (dinner, bed, and breakfast) rate, which includes the evening meal and is often quite cost-effective.	Many hotels in Lakeland have a cost-effective option of dinner, bed, and breakfast with an evening meal in.	entailment	100
2078	um-hum yeah i know what that's like uh-huh	That's like the worst thing that could happen.	neutral	100
2079	As he emerged, Boris remarked, glancing up at the clock: "You are early.	Boris had just arrived at the rendezvous when he appeared.	neutral	100
2080	No, indeed, said Cynthia. 	No, indeed, said my wife.	neutral	45
2081	A chancy road winding up to the 475-metre (1,560-foot) summit is likely to test the engine and suspension of your car, as well as your own persistence.	Tourists often get into accidents trying to reach the summit because their cars weren't able to make it to the top.	neutral	100
2082	And, just incidentally, the Sons of the Egg who'd attacked him in the hospital had tried to reach the camp twice already, once by interpenetrating into a shipment of mandrakes, which indicated to what measures they would resort.	The Sons of Egg attacked him in the hospital and were trying to reach the camp.	entailment	100
2083	By contrast, their grandson, who assumed the throne in 1516, was born in Flanders in 1500, and Charles I could barely express himself in Spanish.	Charlies I was seen by his subjects as an outsider.	neutral	100
2084	yeah that's the World League	That's the World League that you can join.	neutral	100
2085	So many seemingly contrary and opposing factors combine to make it unique.	This does not exist anywhere else on earth.	neutral	95
2086	One 23-year-old White House assistant was interrogated about a triple murder that took place at a Starbucks in Georgetown.	No one from the White Hosue was interrogated regarding the murders.	contradiction	100
2087	We always knew it was an outside chance.	As we were well aware, the odds were not favorable.	entailment	97
2088	Their ideas and initiatives can be implemented at the local and national levels.	Locally and nationally, their ideas can be applied.	entailment	100
2089	The living is not equal to the Ritz, he observed with a sigh.	The living is nothing compared to the glamour of the Ritz, he said sadly.	entailment	0
2090	The Irish Architectural Archive, a library of architectural materials, is at number 73 on the south side of the square.	Next to the library on the south side of the square the Irish Architectural Archive can be found.	neutral	59
2091	Unsurprisingly, golfing is prohibitively expensive.	Golf is a cheap past time so lots of people do it.	contradiction	100
2092	huh-uh the the yeah see the Taurus Show has the spoiler kit and the and the big engine and the and stuff like that	The Taurus show was missing spoiler kits.	contradiction	100
2093	Bush the elder came of age when New England Republicans led the party, and patrician manners were boons to a Republican.	New England Republicans led the GOP.	entailment	100
2094	the wagon man got killed when they attacked him	The wagon man escaped from their attack.	contradiction	100
2095	The FCC has created two tiers of small business for this service with the approval of the SBA.	The SBA has given the go-ahead for the FCC to divide this service into two tiers of small business.	entailment	100
2096	Mack Lee, Body Servant of General Robert E. Lee Through the Civil War , published in 1918.	The book was published in the 21st century.	contradiction	100
2097	Republican consultants agree that conservative candidates in the South, Southwest, Midwest, and Rocky Mountains will beg for Reed's talents and connections.	Reed's talents will be begged for by people across the country, according to Republicans.	entailment	100
2098	Trying Your Luck	This is not a game of luck, but one of pure skill.	contradiction	90
2099	John Kasich dropped his presidential bid.	John Kasich recommitted himself to the presidential bid and plans on winning.	contradiction	99
2100	The Throne Room is one of a series of apartments built during the reign of Charles II, though it was originally designed as a guard room that screened entrants to the private chambers beyond.	The Throne Room is an apartment built during the reign of George III.	contradiction	100
2101	You wake up one bright autumn morning and you're halfway to the subway when you decide to walk to work instead.	You decide to ride the subway instead of take a stroll to work.	contradiction	32
2102	you'd be crazy if you trust them but anyway call it what is it McCarthyism no  i'm not like that i just got enough common sense that nope to you come repent make a world apology for all the wrongs that you've done and yeah we've done wrongs but we've not done near the atrocities they've done and we need to maybe do that also you know	I am glad we have opened up our borders and are offering help to our neighbors in need.	contradiction	96
2103	If I work at it, I might even be able to pick up some endorsements from members of the Sonics.	I need to work hard to accomplish my goals.	neutral	100
2104	The younger girl ran screaming to her.	The young girl was scared. 	neutral	70
2105	Local residents will tell you where to find them.	You can ask local residents where to find them.	entailment	100
2106	Unrest and some political extremism have surfaced from time to time, but since aid from France is so vital, and French customs so ingrained, it seems almost inconceivable that the FWI will seek total independence as other Caribbean islands have done.	There is some political extremism.	entailment	100
2107	Our efforts having been in vain, we had abandoned the matter, hoping that it might turn up of itself one day. 	We were no longer trying to solve the problem.	entailment	100
2108	The emotional effect is undiminished, and the gory effects are usually horribly creative.	The emotional impact is greatly lessened and the way that gore is used is unoriginal.	contradiction	20
2109	oh i'll bet they did	I'm sure they did	entailment	100
2110	The draft treaty was Tommy's bait.	Tommy took the bait of the treaty.	neutral	0
2111	There 214 was some talk of sending me to a specialist in Paris.	It was suggested that I go to Paris to visit with a specialist	entailment	100
2112	Initiatives that we suggested for the CIO Council to consider	We didn't suggest anything to the CIO 	contradiction	100
2113	Hang it all! said Tommy indignantly.	Tommy was being indignant.	entailment	100
2114	Each caters to a specific crowd, so hunt around until you find the one right for you.	You won't have to search at all to find one that works for you.	contradiction	100
2115	The case law is a whole body unto itself.	The case law is a whole entity unto itself.	entailment	100
2116	The technology used to capture and evaluate information in response to the RFP permits LSC to compile and assess key information about the delivery system at the program, state, regional, and national level.	The technology that evaluates information from the RFP allows the LSC to compile information about delivery systems, though not very well.	neutral	100
2117	But there's John ”and Miss Howard, surely they were speaking the truth?"	I know them so well and am sure they are being truthful.	neutral	100
2118	Then it occurred to me that the criminal standard was a low one.	I realized that criminals have very high standards.	contradiction	100
2119	In 1979, he stopped at a Lexington clothing store to buy cowboy boots.	There were not cowboy boots at the store.	neutral	0
2120	and these poor guys out there uh trying to uphold the law um i don't know i kind of think they should bring back capital punishment	It might be beneficial to start using capital punishment again.	entailment	77
2121	The opportunity	Opportunities are important to take advantage of.	neutral	100
2122	He says he brought the proposal for professional parachute helmets with an air-bag system.'	He didn't buy the helmet proposal.	contradiction	100
2123	right and uh there's usually nobody running against you know the incumbents	There are numerous candidates running against the incumbents.  	contradiction	100
2124	This historically renowned freshwater lake, known both as the Sea of Galilee and Lake Kinneret (meaning a harp, after its shape), is just 58 km (36 miles) in circumference.	The lake is full of fresh water and measures 36 miles around.	entailment	100
2125	Well, we've just got to get down to it, that's all.	We've been stalling this project for months.	neutral	94
2126	Fruit, vegetables, electronics, and a little bit of everything else is on sale here.	You can by all sorts of products and food here.	entailment	100
2127	'So I assume he hacked into the autopilot and reprogrammed it to-'	I assumed he reprogrammed the autopilot.	entailment	100
2128	Does anyone know what happened to chaos?	What happened to chaos?	entailment	100
2129	I don't know what I would have done without Legal Services, said James. 	James said Legal Services helped him a lot.	entailment	17
2130	How do you propose to get in touch with your would-be employers?	How will you contact the bakery shop owner?	neutral	0
2131	In this moment of American triumphalism, it's hard to resist the temptation to rewrite recent history as the narrative of America's self-reliant, inevitable rise, and to see the future as the story of America's continued ascent into the higher reaches of the New Economy.	America is in a time of weakness and sadness.	contradiction	100
2132	i never managed to plan my departure right	I'm going to plan my departure now.	neutral	97
2133	so i don't completely agree with that either	And I totally agree with that too.	contradiction	100
2134	France knew a good thing when she seized one, but then so did Britain.	France thought this was bad.	contradiction	100
2135	We shouldn't have been here as soon as this even, if it hadn't been for the fact that there was a smart doctor on the spot, who gave us the tip through the Coroner. 	There had a doctor who assisted us through the Coroner.	entailment	100
2136	well do you know you have a ten limit a ten minute time limit well that's okay and then they come on and tell you and they tell you got five seconds to say good-bye	You get a fifteen minute time limit, and you always get to stick to that.	contradiction	100
2137	Specifically, by defining mission improvement objectives, senior executives determine whether their organization needs a CIO who is a networking/marketing specialist, business change agent, operations specialist, policy/oversight manager, or any combination thereof.	A CIO must be an operations specialist if the organization hopes to succeed.	neutral	100
2138	In 1099, under their leaders Godfrey de Bouillon and Tancred, the Crusaders captured the Holy City for Christendom by slaughtering both Muslims and Jews.	The Crusaders captured the Holy City and killed 100,000 Muslims.	neutral	100
2139	well no see i'm from a town named Panhandle	I'm from a town named Toronto.	contradiction	100
2140	A little past the small theater built for local dramatic performances, there's a fine view across the bay to Basse-Terre.	There are a number of art performances in the area.	neutral	100
2141	yeah i went to i went to uh Rice and we had the marching owl band which is quite a it's not known for its musical abilities more so its um comedy abilities	The marching owl band was known for its comedy abilities.	entailment	14
2142	In the stock market, however, the damage can get much worse.	There is no damage to be done in the stock market. 	contradiction	100
2143	Look out for that overseer up there.	Be careful of the overseer.	entailment	100
2144	He celebrated the fact by announcing that the capital would be moved from Calcutta to a whole new city to be built in Delhi.	The capital moved from Calcutta to a new city. 	entailment	100
2145	Bettelheim committed suicide in 1990, evidently having found life unbearable, despite (or because of) his fictions.	Bettelheim shot himself in 1990.	neutral	70
2146	Here you'll find many clothing stores for all ages and a large branch of Dunnes Stores, an Irish clothes- and food-shop chain.	The clothing stores here only cater to adults.	contradiction	100
2147	( sums up the millennium coverage from around the globe, and  examines whether the Y2K preparations were a waste.)	(The millennium coverage from around the globe will not be summed up and examined).	contradiction	100
2148	A funny place for a piece of brown paper, I mused. 	I thought that the brown paper being there was strange, but unfortunately I put the thought out of my mind and went about my day.	neutral	79
2149	She will step down from the court in December 2002.	She's going to step down from the court in the winter of 2002.	entailment	33
2150	A portion of the nation's income, in turn, is saved, allowing for additional investment in domestic factories, equipment, and other forms of capital that workers use to produce more goods and services or for investment abroad.	The nation's income is divided into portions.	entailment	100
2151	The Cooper Building forms the heart of L.A.'s Garment District, which is located southeast of central Downtown on Los Angeles Street.	L.A.'s Garment District is located southeast of central Downtown.	entailment	100
2152	Both were run by editors (Paul Williams, Jann Wenner) who saw rock stars as modern poets and voices of their generation.	Both featured long exclusive interviews with rock stars.	neutral	100
2153	In the same issue, a document entitled Analysis Regarding The Food And Drug Administration's Jurisdiction Over Nicotine-Containing Cigarettes And Smokeless Tobacco Products was published and comments were requested.	A document was published about the FDA's jurisdiction over cigarettes.	entailment	100
2154	The air is warm.	The frigid air caught them all by surprise.	contradiction	99
2155	I am a lacto-vegetarian.	I eat meat all of the time.	contradiction	100
2156	So, as he and Tipper walked out, my friend and I were right behind them, and I took the opportunity to say hello and reintroduce myself--as a journalist, I might add--and we chatted about the movie for a few minutes.	I saw Tipper with him at the movie.	entailment	43
2157	If the face has been getting longer at the bottom over the generations, it has been getting shorter (and broader) on top.	The shape of the face changes over the course of generations.	entailment	100
2158	oh well yeah that's all i have to say thank you	Thank you for saving my life.	neutral	100
2159	My usual partner.'	My usual partner told him to go away.	neutral	87
2160	Perhaps we should prepare a militia.	We should prepare a militia to fight off the demons.	neutral	100
2161	Fast forward to 1994 and beyond.	Stay in 1993.	contradiction	100
2162	The end is near!  Then a shout went up, and Hanson jerked his eyes from the gears to focus on a group of rocs that were landing at the far end of the camp.	Hanson was terrified when he saw the group of rocs landing at the far end of the camp.	neutral	100
2163	Even as more people are accumulating balances through employer-sponsored 401(k) saving plans and individual retirement accounts, personal saving-which does not reflect gains on existing assets-has declined.	Personal savings have declined.	entailment	100
2164	He looks so awfully tired and bored, and yet you feel that underneath he's just like steel, all keen 38 and flashing.	He looks fresh and keen about it.	contradiction	100
2165	yes uh i bought a uh Bristol thirty five five for my wife	I bought the Bristol from the old pawn shop near the docks.	neutral	100
2166	so i'll probably say you know it's like well we've been talking for five six minutes so okay	We've been talking about 5 or 6 minutes ago because I called you.	neutral	100
2167	Some experts say there's a greater chance of a making a catch in the cooler days of spring and autumn, and in the hours after sunset.	Experts say you should never try to make a catch after sunset.	contradiction	100
2168	Ricky Martin was filming his triumphant return to the gay porn industry.	Ricky Martin is a gay porn star.	entailment	100
2169	[I]n You're the Top Porter does not capitalize on the text's potential for realism.	The text has a potential for realism that is unrealized.	entailment	88
2170	He charged Jon, knife high.	He charged Jon with a bloody knife.	neutral	100
2171	 The leaves of the papyrus were dried and used by Ancient Egyptians as a form of paper.	Ancient Egyptians use papyrus leaves for paper.	entailment	100
2172	Expectations that the ANC would oversee land reform--returning land seized during apartheid's forced migrations--and wealth redistribution have not been met.	The ANC would be in charge of land reform.	entailment	100
2173	Strategic parents might spend a large portion of their tax cuts, causing interest rates to rise.	If parents who receive tax cuts end up spending more on goods, interest rates could go up.	neutral	100
2174	Nowadays, a poverty lawyer working for one of New York's many agencies representing the indigent - including Legal Aid, the South Brooklyn Legal Services, the Lawyers Alliance for New York, InMotion, the Lawyers Committee for Human Rights, Volunteers of Legal Service, the Bronx Defenders and New York Lawyers for the Public Interest - might begin his or her career at $32,000 per annum, compared with the $125,000 average first-year associate salary at the city's larger firms.	Larger firms often pay lawyers a larger salary.	entailment	93
2175	A fresh access of pain seized the unfortunate old lady. 	The lady lay calmly, with no signs of pain on her face.	contradiction	100
2176	There are no means of destroying it; and he dare not keep it. 	He should keep it with him.	contradiction	100
2177	i'm not exactly sure	I'm completely sure.	contradiction	100
2178	As a result, EPA could not ensure that it was directing its efforts toward the environmental problems that were of greatest concern to citizens or posed the greatest risk to the health of the population or the environment itself.	EPA couldn't ensure it was directing its efforts toward the environmental problem.	entailment	100
2179	In addition, the senior executives at these organizations demonstrated their sustained commitment to financerelated improvement initiatives by using key business/line managers to drive improvement efforts, attending key meetings, ensuring that the necessary resources are made available, and creating a system of rewards and incentives to recognize those who support improvement initiatives.	This system of rewards and incentives will hopefully improve company performance.	neutral	100
2180	But it was quite a natural suggestion for a layman to make."	The layman's suggestion was not unreasonable. 	entailment	72
2181	those little kids don't understand it	The younger kids don't understand the more complex assignments they're given. 	neutral	100
2182	oh sure sure right um-hum right	Whatever you say	neutral	94
2183	once you have something and it's like i was watching this program on TV yesterday in nineteen seventy six NASA came up with Three D graphics right	I was watching a program about NASA.	entailment	100
2184	yeah i try to no i uh uh try not to use any insecticides at all i try not to even use insecticides on my lawn but i sometimes i can't manage	I don't think insecticides are bad at all, I use them all the time	contradiction	100
2185	De Wit worked from likenesses of actual monarchs to produce his portraits.	To create his portraits, De Wit used the likenesses of real monarchs.	entailment	100
2186	When people are late, it makes it hard to keep things working in a rational fashion.	People have to be on time for the work to be well made.	entailment	0
2187	In 1654 Oliver Cromwell, Lord Protector of England, dispatched a British fleet to the Caribbean to break the stranglehold of the Spanish.	Cromwell sent nobody to the Caribbean.	contradiction	100
2188	He was crying like his mother had just walloped him.	He was crying like his mother hit him with a spoon.	neutral	62
2189	yeah well we veered from the subject	Indeed we got away from the original subject.	entailment	100
2190	The other bank pays the fund interest based upon tiered account levels, more typical of a large commercial account.	The fund collects interest much like a large commercial account.	entailment	100
2191	The last stages of uploading are like a mental dry-heave.	Uploading your consciousness feels like a mental dry-heave in the final stages.	neutral	1
2192	The White House denies this.	The White House, off the record, knows it to be true.	neutral	5
2193	well his knees were bothering him yeah	His knees were giving him problems.	entailment	100
2194	for one twelve dollar check	Several checks for twelve dollars.  	contradiction	97
2195	The Congress also told LSC that it could not continue to fund its grantees presumptively and that it must begin to distribute its funds on a competitive basis.	Congress told LSC how to run their business affairs.	entailment	0
2196	from from personal parties or from these uh phone answering phone uh commercial things	Do you get arrested from personal parties?	neutral	100
2197	Previously, at the request of the Republican Ranking Minority Member of the House Committee on Government Operations, GAO reviewed activities of President Clintonas Task Force on Health Care Reform and was provided with an extensive listing of working group participants drawn from the government and from outside organizations.	The reviewing has been taken place without the request of the Republican member previously.	contradiction	100
2198	Christ on a crutch, what does he have to do to lose your support, stab David Geffen with a kitchen knife?	Your support is unwavering.	entailment	0
2199	and see if Kansas if Kansas yeah but then you know it could be what if they're not hitting that night or they're low or anything and see i i feel like the college you know it's kids it's still kids	If it's college, they are adults.	contradiction	100
2200	The draft treaty was Tommy's bait.	The treaty bait was not for Tommy.	contradiction	100
2201	is that what you ended up going into	So that must be what you chose to do?	entailment	84
2202	Net nonfederal saving	The net saving does not include federal saving	entailment	61
2203	Sometimes more than one denomination shares one church.	One church always has one denomination.	contradiction	100
2204	The city was founded in the third millennium b.c. on the north shore of the bay, and reached a peak during the tenth century b.c. , when it was one of the most important cities in the Ionian Federation the poet Homer was born in S myrna during this period.	In the year 150 b.c is when the city was founded.	contradiction	100
2205	I am not aware of any studies comparing the number of words an average person could expect to hear spoken in a typical day 500 years ago vs. the number that can be heard now, but the increase surely is vast.	According to the research I've seen, the average person hundreds of years ago heard many more words over the course of the day compared to a modern human being.	contradiction	100
2206	But even managers who try to stay alert to these forces often gather their information anecdotally or informally.	Managers often gather their information anecdotally or informally.	entailment	100
2207	We're going to try something different this morning, said Jon.	Jon decided to try a new hobby.	neutral	65
2208	The large scale production of entertainment films is a phenomenon well worth seeing several times.	The production of entertainment films is elaborate and large scaled.	entailment	88
2209	There is uncertainty associated with all of the numbers presented in this paper due to sampling error and estimation error in econometric estimation procedure used to recover household-level demand functions	Instead of sampling humans for this data, researchers sampled pet rocks.	contradiction	2
2210	The renowned Theban queen Nefertari, wife of Ramses II, has the most ornate tomb (number 66) but it is not always accessible.	The renowned Theban queen Nefertari has a tomb which is always open to the public (number 66).	contradiction	100
2211	him?" she asked.	She is shocked to know that it was him.	neutral	97
2212	The increased investment has contributed to higher GDP growth in recent years, and the stronger economy should help in servicing the debt owed to foreigners.	Higher GDP growth in recent years has been contributed to increased investment.	entailment	100
2213	More detailed implementation plans also will be necessary to address business system, processes, and resource issues.	Detailed implementation plans are necessary to address business system, processes and resources 	entailment	100
2214	Porches and stoops, those symbols of a vibrant social life, stopped being used as gathering places for a rather practical reason--air conditioning.	Air conditioning is the primary reason for the demise of outdoor gathering.	entailment	1
2215	I'm sure he'll be back to work soon enough- it's only a leg wound, barely broken flesh.	The legs are bandaged and are feeling better.	neutral	57
2216	But if banks, airlines, and communications companies accept key recovery, the terrorists will risk potential exposure every time they do business with those institutions.	Banks, airlines, and communications companies support terrorists.	neutral	14
2217	There is uncertainty associated with all of the numbers presented in this paper due to sampling error and estimation error in econometric estimation procedure used to recover household-level demand functions	The research that went into this report is potentially faulty.	entailment	1
2218	ECONOMETRIC MODEL -An equation or a set of related equations used to analyze economic data through mathematical and statistical techniques.	Math is used to analyze economic data	entailment	30
2219	Instead, we could recommend that, compared with other settings, the prevalence of alcohol problems among ED patients makes it worthy of careful consideration.	The relationship between alcohol-dependent ED patients should be explored.	neutral	0
2220	For himself he chose Atat??rk, or Father of the Turks.	Ataturk was the father of the Turkish nation.	entailment	50
2221	I didn't get it at the time." The thought saddened him a little, for it seemed to prove that Mrs. Vandemeyer and the girl were on intimate terms.	It was proven that Mrs. Vandemeyer and the girl had an affair	neutral	7
2222	Finally, the FDA will conduct workshops, issue guidance manuals and videotapes, and hold teleconferences to aid small entities in complying with the rule.	The FDA has conducted many workshops over its operating years. 	neutral	100
2223	2) This particular instance of it stinks.	This instance stinks. 	entailment	100
2224	A man like me cannot fail… .	A man of my character can only fail.	contradiction	27
2225	agencies' operating trust, enterprise and internal service funds) are required to produce auditable financial statements.	Agencies in financial trouble are usually audited.	neutral	100
2226	The cane plantations, increasingly in the hands of American tycoons, found a ready market in the US.	The US market was not ready for the cane plantations.	contradiction	100
2227	Unfortunately, the magnet schools began the undoing of desegregation in Charlotte.	Desegregation was becoming disbanded in Charlotte thanks to the magnet schools.	entailment	100
2228	do you really romance	Do you really love him?	neutral	100
2229	you know we keep a couple hundred dollars um if that much charged on those which isn't too bad it's just your normal	We have some money on there	entailment	92
2230	A clean, wholesome-looking woman opened it.	The woman was trying to be desecrate. 	neutral	0
2231	 said San'doro.	San'doro said nothing. 	contradiction	100
2232	i've even heard of some people being sexually abused	Some people are sexually abused by nurses.	neutral	100
2233	The NYT , in its front-page coverage, says the plane was flying far lower than the rules for training missions allow.	The NYT also reported that the plane was shot down on order of the President. 	neutral	100
2234	The next year, he was expelled from Rand as a security risk after local police caught him engaging in a lewd act in a public men's room near Muscle Beach.	They expelled him from Rand because he commited a crime	entailment	0
2235	i think it's ninety two	I guess it is ninety two.	entailment	100
2236	AC Green's pretty good	AC Green's a horrible player.	contradiction	100
2237	exactly and when i'm sitting here on the sofa cross-stitching and all of a sudden somebody a man's got their hand on my door knob it's like uh like oh no and so i don't i don't like that and i guess the only way to prevent it would be just to pass a city ordinance to prevent that or	A man tried to enter the house so that he could rob it. 	neutral	100
2238	An Indian traveler described the prosperous Bujang Valley settlement as  the seat of all felicities.  	A traveler said the settlement was prospering. 	entailment	100
2239	China's civil war sent distressing echoes to Hong Kong.	Japan fought a civil war.	contradiction	100
2240	They copied Louis XIV's centralized administration and tax-collection, and by the 18th century Turin was a sparkling royal capital built, quite unlike any other Italian city, in classical French manner.	Turin was possible due to new centralized control and collection of taxes.	entailment	15
2241	Sphinxes were guardian deitiesinEgyptianmythologyandthis was monumentalprotection,standing73 m (240 ft)longand20 m (66 feet) high.	Sphinxes were supposed to be to keep people company.	contradiction	3
2242	Its scorecard included measures for accuracy, speed and timeliness, unit cost, customer satisfaction, and employee development and satisfaction.	Accuracy and speed were included measurements on the scorecard.	entailment	100
2243	In both Britain and America, the term covers nearly everybody.	In both Britain and America the term covers almost everyone except for Israelites.	neutral	100
2244	By coordinating policy development and awareness activities in this manner, she helps ensure that new risks and policies are communicated promptly and that employees are periodically reminded of existing policies through means such as monthly bulletins, an intranet web site, and presentations to new employees.	There new employees are a risk.	neutral	100
2245	Favorite items that will help preserve your memories of the rugged Lakeland countryside are clothing or blankets made from the local Herdwick wool, coasters of polished slate, or walking sticks with ram's-horn handles.	Most competitors get a blanket that commemorates their experience.	neutral	100
2246	He celebrated the fact by announcing that the capital would be moved from Calcutta to a whole new city to be built in Delhi.	The capital has never moved locations in its history. 	contradiction	100
2247	ECONOMETRIC MODEL -An equation or a set of related equations used to analyze economic data through mathematical and statistical techniques.	Economic models are not related to data	contradiction	100
2248	that was good and Poland yeah and i've done some of those yeah i like i like things that are those are a few of the ones i can take of his i like it when they actually are giving you information in a novel format i guess would be the	I dislike it when they give you information in a novel.	contradiction	100
2249	Some bugs are hell to track down.	Bugs are always easy to catch.	contradiction	100
2250	they don't allow they don't do that	They don't do that and it's not permitted.	entailment	100
2251	Court officials include the phone numbers of the local Legal Services office and county lawyer referral system on every summons.	Court officials don't get involved in figuring out how people will get legal help.	contradiction	100
2252	for me now the address is the same you know my my office address	My office won't accept any personal mail.	neutral	95
2253	That word boustrophedon describes writing that goes from left to right on the first line, then right to left on the second, then left to right on the third, and so on; it comes from a Greek word describing the turning in a field of an ox and plow.	Writing that alternates directions on each line is called boustrophedon.	entailment	100
2254	I leap!" And, in very truth, run and leap he did, gambolling wildly down the stretch of lawn outside the long window. 	The man yelled that he would sit down, and sit down he did.	contradiction	100
2255	It's just the beginning!"	A great journey is about to begin!	neutral	100
2256	Silverwork and Pewter	Petwer and Silverwork are not comparable.	neutral	5
2257	The entire setup has an anti-competitive, anti-entrepreneurial flavor that rewards political lobbying rather than good business practices.	The setup rewards political lobbying.	entailment	100
2258	i think it's real good anyway it's it's been it was nice meeting you	It was nice meeting you on this sunny day	neutral	100
2259	that would be good what'd you say	I am interested in what you'd say.	entailment	7
2260	Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.	More than a million people gathered to celebrate mass when Pope John Paul II visited in 1979.	entailment	100
2261	All of them slept in one cave on animal skins, a single large clay pot cooked all of their food.	They used multiple clay pots to cook their food.	contradiction	100
2262	Or just a philosophy of any weapon to hand?	They don't allow any weapon.	contradiction	100
2263	In fact, European nations need to do some serious fiscal housecleaning.	There needs to be some serious fiscal housecleaning by European nations.	entailment	100
2264	Local legend claims that he wrote part of his great saga, Os Lusadas, in what is now called the Camees Grotto, situated in the spacious tropical Camees Garden.	It is claimed that half of Os Lusadas was written by him in the Camees Garden.	neutral	63
2265	True devotees talk shop at even more specialized groups, such as one on Northeastern weather (ne.weather), whose recent conversation topics included the great blizzard of 1978 and the freak snowstorm of May 1977.	Participation in specialized groups leads to more in depth understanding. 	neutral	100
2266	Executives do so by examining their internal environments and asking a series of questions about the problems that need fixing, how information technology and management can help, and how a CIO might best fit within their management structures to guide technology solutions.	Executives should not consider how information technology is currently used when crafting a CIO.	contradiction	100
2267	The conversation he had overheard had stimulated his curiosity.	The converstaion made him curious.	entailment	100
2268	But Fish is not an upbeat pragmatist.	Fish is not an upbeat pragmatist. 	entailment	100
2269	He felt the off-hand dagger's weight in the small of his back.	The knife was still in the sheath.	contradiction	100
2270	We look forward to receiving comments from the readers of this paper.	Someone likes to get comments from readers of a paper.	entailment	100
2271	Now suppose there is a private delivery firm in Cleveland that is competing with the postal service.	The private delivery firm would struggle to provide the same services as the postal service.	neutral	100
2272	Oh yeah? San Barenakedino? How's he? Clarisse and Onardo both asked.	Clarisse and Onardo don't care how San Barenakedino is doing.	contradiction	100
2273	football and baseball and	Both football and baseball.	entailment	100
2274	What you say about Lawrence is a great surprise to me, I said. 	I think Lawrence is telling the truth, so what you say is a surprise.	neutral	100
